Alpha,Time,X,Y,Orientation
7.206236534464509,7.0,261.527179999,110.917580105,-74.5230796165
7.762588892594737,7.1,262.069631283,108.99255567,-74.0023838958
7.762588892594737,7.2,262.629554267,107.072540378,-73.481688175
7.762588892594737,7.3,263.20690271,105.157692801,-72.9609924543
7.762588892594737,7.4,263.801628929,103.248171082,-72.4402967336
7.762588892594737,7.5,264.413683806,101.344132926,-71.9196010128
8.614485436867001,7.6,265.043976575,99.4460557345,-71.340935061
8.614485436867001,7.7,265.693406742,97.5544409594,-70.7622691091
8.614485436867001,7.8,266.361908065,95.6694815486,-70.1836031573
8.614485436867001,7.9,267.049412355,93.7913697708,-69.6049372055
8.614485436867001,8.0,267.755849487,91.9202971964,-69.0262712537
9.123929207380087,8.1,268.481712852,90.0566759463,-68.4128151367
9.123929207380087,8.2,269.227487705,88.2009330609,-67.7993590197
9.123929207380087,8.3,269.993088554,86.3532812734,-67.1859029027
9.123929207380087,8.4,270.778427634,84.5139323896,-66.5724467857
9.123929207380087,8.5,271.583414919,82.6830972633,-65.9589906687
9.313108099246167,8.6,272.408163779,80.8610792949,-65.3325904134
9.313108099246167,8.7,273.252782614,79.0481868047,-64.706190158
9.313108099246167,8.8,274.117170474,77.2446364763,-64.0797899027
9.313108099246167,8.9,275.001224042,75.4506438769,-63.4533896474
9.313108099246167,9.0,275.904837654,73.6664234312,-62.826989392
10.257620545294255,9.1,276.828906114,71.8927129236,-62.1357470824
10.257620545294255,9.2,277.774305655,70.1302796083,-61.4445047727
10.257620545294255,9.3,278.740898675,68.3793800063,-60.753262463
10.257620545294255,9.4,279.728544488,66.6402689598,-60.0620201533
10.257620545294255,9.5,280.737099342,64.9131995951,-59.3707778436
10.705086140473245,9.6,281.766877515,63.1987014266,-58.6486833271
10.705086140473245,9.7,282.81818103,61.4973172917,-57.9265888106
10.705086140473245,9.8,283.890842907,59.8093174242,-57.204494294
10.705086140473245,9.9,284.984692774,58.1349699319,-56.4823997775
10.705086140473245,10.0,286.099556892,56.4745407542,-55.760305261
10.831136053093614,10.1,287.23538309,54.8283801855,-55.0295034668
10.831136053093614,10.2,288.392112938,53.1968404737,-54.2987016727
10.831136053093614,10.3,289.569558251,51.5801870462,-53.5678998786
10.831136053093614,10.4,290.767527478,49.9786829085,-52.8370980844
10.831136053093614,10.5,291.985825726,48.3925886017,-52.1062962903
11.092147682049188,10.6,293.224501777,46.8223578228,-51.3574409114
11.092147682049188,10.7,294.483594351,45.2684501843,-50.6085855324
